ID,growing zone,tree name,botanical name,overview description,sun preference,soil preference,mature height,mature spread,growth speed,flower color,foliage color,fall color,pollinator friendly,outgoing link,main_tree_image,tree_image_1,tree_image_2,tree_image_3,tree_image_4
18,7,Okame Cherry Tree,Prunus x 'Okame',"<ul>
<li>Vivid Rosy Pink Blossoms in Early Spring</li>
<li>Blooms in Hot and Humid South, and Hot and Dry West</li>
<li>Fabulous Spring and Fall Color in the North</li>
<li>Specimen Tree</li>
<li>Requires Little Pruning</li>
<li>Celebrated at the Cherry Blossom Festival in Washington, D.C.</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,15 - 30 Feet,20 - 30 Feet,Medium,Pink,Green,"Yellow, Orange, Red",Yes,https://www.naturehills.com/okame-cherry,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-branches-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-close-up-600x600.webp,N/A
19,8,Okame Cherry Tree,Prunus x 'Okame',"<ul>
<li>Vivid Rosy Pink Blossoms in Early Spring</li>
<li>Blooms in Hot and Humid South, and Hot and Dry West</li>
<li>Fabulous Spring and Fall Color in the North</li>
<li>Specimen Tree</li>
<li>Requires Little Pruning</li>
<li>Celebrated at the Cherry Blossom Festival in Washington, D.C.</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,15 - 30 Feet,20 - 30 Feet,Medium,Pink,Green,"Yellow, Orange, Red",Yes,https://www.naturehills.com/okame-cherry,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-branches-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-close-up-600x600.webp,N/A
20,2,Quaking Aspen Tree,Populus Tremuloides 'Quaking',"<ul>
<li>Fast-Growing Native Plant</li>
<li>Wonderful Heart-Shaped Leaves</li>
<li>Useful Pyramidal Shape</li>
<li>Beautiful Fall Color</li>
<li>Adds Motion & Sound</li>
<li>Historical Uses</li>
<li>Beneficial To Wildlife</li>
<li>Long-Lived</li>
<li>Cold Hardy Nativer</li>
<li>Distinctive White Bark</li>
<ul>",Full Sun,Widely Adaptable,40 - 50 Feet,20 - 30 Feet,Fast,N/A,Dark Green,Yellow,Yes,https://www.naturehills.com/aspen-quaking,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking_aspen_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen-from-tim-357x357.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen_bark-closeup-600x600.webp,N/A,N/A
21,3,Quaking Aspen Tree,Populus Tremuloides 'Quaking',"<ul>
<li>Fast-Growing Native Plant</li>
<li>Wonderful Heart-Shaped Leaves</li>
<li>Useful Pyramidal Shape</li>
<li>Beautiful Fall Color</li>
<li>Adds Motion & Sound</li>
<li>Historical Uses</li>
<li>Beneficial To Wildlife</li>
<li>Long-Lived</li>
<li>Cold Hardy Nativer</li>
<li>Distinctive White Bark</li>
<ul>",Full Sun,Widely Adaptable,40 - 50 Feet,20 - 30 Feet,Fast,N/A,Dark Green,Yellow,Yes,https://www.naturehills.com/aspen-quaking,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking_aspen_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen-from-tim-357x357.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen_bark-closeup-600x600.webp,N/A,N/A
22,4,Quaking Aspen Tree,Populus Tremuloides 'Quaking',"<ul>
<li>Fast-Growing Native Plant</li>
<li>Wonderful Heart-Shaped Leaves</li>
<li>Useful Pyramidal Shape</li>
<li>Beautiful Fall Color</li>
<li>Adds Motion & Sound</li>
<li>Historical Uses</li>
<li>Beneficial To Wildlife</li>
<li>Long-Lived</li>
<li>Cold Hardy Nativer</li>
<li>Distinctive White Bark</li>
<ul>",Full Sun,Widely Adaptable,40 - 50 Feet,20 - 30 Feet,Fast,N/A,Dark Green,Yellow,Yes,https://www.naturehills.com/aspen-quaking,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking_aspen_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen-from-tim-357x357.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen_bark-closeup-600x600.webp,N/A,N/A
23,5,Quaking Aspen Tree,Populus Tremuloides 'Quaking',"<ul>
<li>Fast-Growing Native Plant</li>
<li>Wonderful Heart-Shaped Leaves</li>
<li>Useful Pyramidal Shape</li>
<li>Beautiful Fall Color</li>
<li>Adds Motion & Sound</li>
<li>Historical Uses</li>
<li>Beneficial To Wildlife</li>
<li>Long-Lived</li>
<li>Cold Hardy Nativer</li>
<li>Distinctive White Bark</li>
<ul>",Full Sun,Widely Adaptable,40 - 50 Feet,20 - 30 Feet,Fast,N/A,Dark Green,Yellow,Yes,https://www.naturehills.com/aspen-quaking,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking_aspen_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen-from-tim-357x357.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen_bark-closeup-600x600.webp,N/A,N/A
24,6,Quaking Aspen Tree,Populus Tremuloides 'Quaking',"<ul>
<li>Fast-Growing Native Plant</li>
<li>Wonderful Heart-Shaped Leaves</li>
<li>Useful Pyramidal Shape</li>
<li>Beautiful Fall Color</li>
<li>Adds Motion & Sound</li>
<li>Historical Uses</li>
<li>Beneficial To Wildlife</li>
<li>Long-Lived</li>
<li>Cold Hardy Nativer</li>
<li>Distinctive White Bark</li>
<ul>",Full Sun,Widely Adaptable,40 - 50 Feet,20 - 30 Feet,Fast,N/A,Dark Green,Yellow,Yes,https://www.naturehills.com/aspen-quaking,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking_aspen_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen-from-tim-357x357.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen_bark-closeup-600x600.webp,N/A,N/A
25,4,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',"<ul>
<li>Improved Variety of Maple</li>
<li>Disease and Pest Resistant</li>
<li>Wonderful Shade Tree</li>
<li>Award Winner</li>
<li>Tried and True</li>
<ul>",Full Sun,Widely Adaptable,40 - 60 Feet,40 - 60 Feet,Fast,Red,Green,Red,Yes,https://www.naturehills.com/autumn-blaze-red-maple,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-full-trees-2-800x800_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-close-up-leaves_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-maple-600x600_1.webp,N/A,N/A
26,5,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',"<ul>
<li>Improved Variety of Maple</li>
<li>Disease and Pest Resistant</li>
<li>Wonderful Shade Tree</li>
<li>Award Winner</li>
<li>Tried and True</li>
<ul>",Full Sun,Widely Adaptable,40 - 60 Feet,40 - 60 Feet,Fast,Red,Green,Red,Yes,https://www.naturehills.com/autumn-blaze-red-maple,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-full-trees-2-800x800_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-close-up-leaves_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-maple-600x600_1.webp,N/A,N/A
27,6,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',"<ul>
<li>Improved Variety of Maple</li>
<li>Disease and Pest Resistant</li>
<li>Wonderful Shade Tree</li>
<li>Award Winner</li>
<li>Tried and True</li>
<ul>",Full Sun,Widely Adaptable,40 - 60 Feet,40 - 60 Feet,Fast,Red,Green,Red,Yes,https://www.naturehills.com/autumn-blaze-red-maple,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-full-trees-2-800x800_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-close-up-leaves_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-maple-600x600_1.webp,N/A,N/A
28,7,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',"<ul>
<li>Improved Variety of Maple</li>
<li>Disease and Pest Resistant</li>
<li>Wonderful Shade Tree</li>
<li>Award Winner</li>
<li>Tried and True</li>
<ul>",Full Sun,Widely Adaptable,40 - 60 Feet,40 - 60 Feet,Fast,Red,Green,Red,Yes,https://www.naturehills.com/autumn-blaze-red-maple,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-full-trees-2-800x800_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-close-up-leaves_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-maple-600x600_1.webp,N/A,N/A
29,8,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',"<ul>
<li>Improved Variety of Maple</li>
<li>Disease and Pest Resistant</li>
<li>Wonderful Shade Tree</li>
<li>Award Winner</li>
<li>Tried and True</li>
<ul>",Full Sun,Widely Adaptable,40 - 60 Feet,40 - 60 Feet,Fast,Red,Green,Red,Yes,https://www.naturehills.com/autumn-blaze-red-maple,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-full-trees-2-800x800_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-close-up-leaves_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/autumn-blaze/autumn-blaze-maple-600x600_1.webp,N/A,N/A
30,3,Eastern Red Cedar,Juniperus virginiana,"<ul>
<li>Native Evergreen</li>
<li>Tough, Durable and Drought Resistant</li>
<li>Wildlife Cover and Bird Magnet</li>
<li>Wonderful Texture</li>
<li>Aromatic Wood</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,40 - 60 Feet,10 - 20 Feet,Medium,N/A,Green,Evergreen,No,https://www.naturehills.com/eastern-red-cedar,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_cones_web.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern-red-cedar-tree-close-up-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_3.webp,N/A
31,4,Eastern Red Cedar,Juniperus virginiana,"<ul>
<li>Native Evergreen</li>
<li>Tough, Durable and Drought Resistant</li>
<li>Wildlife Cover and Bird Magnet</li>
<li>Wonderful Texture</li>
<li>Aromatic Wood</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,40 - 60 Feet,10 - 20 Feet,Medium,N/A,Green,Evergreen,No,https://www.naturehills.com/eastern-red-cedar,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_cones_web.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern-red-cedar-tree-close-up-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_3.webp,N/A
32,5,Eastern Red Cedar,Juniperus virginiana,"<ul>
<li>Native Evergreen</li>
<li>Tough, Durable and Drought Resistant</li>
<li>Wildlife Cover and Bird Magnet</li>
<li>Wonderful Texture</li>
<li>Aromatic Wood</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,40 - 60 Feet,10 - 20 Feet,Medium,N/A,Green,Evergreen,No,https://www.naturehills.com/eastern-red-cedar,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_cones_web.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern-red-cedar-tree-close-up-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_3.webp,N/A
33,6,Eastern Red Cedar,Juniperus virginiana,"<ul>
<li>Native Evergreen</li>
<li>Tough, Durable and Drought Resistant</li>
<li>Wildlife Cover and Bird Magnet</li>
<li>Wonderful Texture</li>
<li>Aromatic Wood</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,40 - 60 Feet,10 - 20 Feet,Medium,N/A,Green,Evergreen,No,https://www.naturehills.com/eastern-red-cedar,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_cones_web.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern-red-cedar-tree-close-up-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_3.webp,N/A
34,7,Eastern Red Cedar,Juniperus virginiana,"<ul>
<li>Native Evergreen</li>
<li>Tough, Durable and Drought Resistant</li>
<li>Wildlife Cover and Bird Magnet</li>
<li>Wonderful Texture</li>
<li>Aromatic Wood</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,40 - 60 Feet,10 - 20 Feet,Medium,N/A,Green,Evergreen,No,https://www.naturehills.com/eastern-red-cedar,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_cones_web.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern-red-cedar-tree-close-up-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_3.webp,N/A
35,8,Eastern Red Cedar,Juniperus virginiana,"<ul>
<li>Native Evergreen</li>
<li>Tough, Durable and Drought Resistant</li>
<li>Wildlife Cover and Bird Magnet</li>
<li>Wonderful Texture</li>
<li>Aromatic Wood</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,40 - 60 Feet,10 - 20 Feet,Medium,N/A,Green,Evergreen,No,https://www.naturehills.com/eastern-red-cedar,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_cones_web.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern-red-cedar-tree-close-up-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_3.webp,N/A
36,9,Eastern Red Cedar,Juniperus virginiana,"<ul>
<li>Native Evergreen</li>
<li>Tough, Durable and Drought Resistant</li>
<li>Wildlife Cover and Bird Magnet</li>
<li>Wonderful Texture</li>
<li>Aromatic Wood</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,40 - 60 Feet,10 - 20 Feet,Medium,N/A,Green,Evergreen,No,https://www.naturehills.com/eastern-red-cedar,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_cones_web.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern-red-cedar-tree-close-up-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/eastern-red/eastern_red_cedar_tree_600x600_3.webp,N/A
37,6,Mimosa Tree,Albizia julibrissin 'Rosea',"<ul>
<li>Tropical Pink Blooms</li>
<li>Fern-Like Foliage</li>
<li>Drought & Heat Tolerant</li>
<li>Easy Care</li>
<li>Smaller Shade Tree</li>
<ul>",Full Sun,Widely Adaptable,20 - 35 feet,25 - 30 feet,Fast,Light Pink,Green,N/A,Yes,https://www.naturehills.com/mimosa-tree,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/mimosa-tree/mimosa-tree-albizia-julibrissin-tree-in-bloom-2-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/mimosa-tree/mimosa-tree-3-800x800.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/mimosa-tree/mimosa-tree-dreamstime_xxl_97814927-600x600.webp,N/A,N/A
38,7,Mimosa Tree,Albizia julibrissin 'Rosea',"<ul>
<li>Tropical Pink Blooms</li>
<li>Fern-Like Foliage</li>
<li>Drought & Heat Tolerant</li>
<li>Easy Care</li>
<li>Smaller Shade Tree</li>
<ul>",Full Sun,Widely Adaptable,20 - 35 feet,25 - 30 feet,Fast,Light Pink,Green,N/A,Yes,https://www.naturehills.com/mimosa-tree,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/mimosa-tree/mimosa-tree-albizia-julibrissin-tree-in-bloom-2-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/mimosa-tree/mimosa-tree-3-800x800.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/mimosa-tree/mimosa-tree-dreamstime_xxl_97814927-600x600.webp,N/A,N/A
